taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	
Rhinopithecus bieti						AF172178						AF183684			AF454966	AF172212										AY232666				AY998835					AY307843			
Macaca ochreata					AF284269										HM071773				HM765000	HM764751	HM763932	HM762604	HM071449			AY206545				HM071122						HM756953		
Nomascus concolor		JX856238												JN871468					HM765009	HM764787		HM762613				AY012134				GU594997						AY012070		
Cebus albifrons		JN414809													AF338384		AF028479		HM765069	HM764826	HM764006	HM762675	HM757733			JN400565				FJ529108	JF938303	JF938453			HQ540147			
Leontopithecus rosalia		JX856233		AF092831											AF338372		AF028490		HM764985	HM764808	HM763989	HM762590		AF514763						L44591	JF938340	JF938491				HM756994		
Saguinus fuscicollis		JX856242		AF092835									FJ542216		HM758012		AF028493		HM765043	HM764835	HM764015	HM762648	HM757742	AF514762												HM757012	HM765391	
Mandrillus leucophaeus	JF919242	JX856235				AF172188					AY671789		FJ542210		AF454968	AF172222		JQ068255	HM764995	HM764757	HM763938	HM762599	HM757667		AF057436		M63207	AY851750		JQ068167						HM756957		
Ateles paniscus	JF919249	AJ313474	DQ166186			AF172200					JF459104	AF187155			HM757995	AF172234			HM764905	HM764823	HM764003	HM762513						AY279117			JF938260	JF938405			HQ540149	HM757007	HM765266	
Callicebus moloch		JX856220				AF172203										AF172237	AF028483		HM764943		HM764030	HM762546		AF514764		AF069980				AF524887	JF938358	JF938515			HQ540151		HM765300	
Theropithecus gelada	JF919243	JX856246		JF293244	AF284278						EF658645		FJ542208	JF293229	AF284329			AY488130	HM765060	HM764774	HM763955	HM762665	HM757683		AF057433					EU885487						HM756968	AY879642	
Macaca sylvanus	AY918495			JF293245	AF425281						JF444309		FJ542211	JF293227	AF284325			D85289	HM765005	HM764754	HM763935	HM762609	JF293211			L35188										HM756955	AF352949	
Mandrillus sphinx					AF284279	AF172187					FJ713434				AF284330	AF172221		AY488132	HM765004	HM764758	HM763939	HM762608	HM757668		AF057431	FJ750707	DQ103724			JQ068151						HM756958		
Trachypithecus auratus														EU835230	EU004468				HM765056	HM764775	HM763956	HM762661	HM757684													HM756969		
Pithecia pithecia		AJ313475				AF172204					JF459229		FJ542214			AF172238	AF028491		HM765029	HM764853	HM764033	HM762634	HM757753	AF514761		AF069971							AF028515		HQ540152	HM757021	HM765380	
Leontopithecus chrysomelas	JF919258		DQ166195												HM758002				HM764980	HM764807	HM763988	HM762585	HM757714							L44589	JF938335	JF938485			HQ540146			
Piliocolobus badius				JF293248										JF293232	JF293184					HM764764	HM763945	HM762621	JF293216			AF164882				AF294625						JF293269		
Presbytis melalophos				JF293250	AF284231									JF293234	JF293186				HM765024	HM764766	HM763947	HM762629	HM757675													JF293271		
Ateles fusciceps		JN414808													HM757992		AF028477		HM764898	HM764820	HM764000	HM762506	HM757728	AF514756		AY012132							AF028501			HM757004	HM765261	
Papio papio					FJ750626						AY972684				HM757973			AY212056	HM765028	HM764763	HM763944	HM762633	HM757673	HM631746	FJ750608	FJ750680				EU885447			HM631778			HM756962		
Callimico goeldii	JF919257	JX856221		AF092825		AF172202					AY671788				AF338383	AF172236	AF028486		HM764934	HM764800	HM763981	HM762538	HM757707					AY279118		AF044061		JF938410				HM756988		
Aotus azarai	JF919254		DQ166184	AF092812							EU179517				AF338375				HM764909	HM764813	HM763994	HM762517	HM757720					AY279113		DQ098865	JF938235	JF938376				HM756999	HM765269	
Erythrocebus patas		AY434086		AY434056	AY048062						JF444300				AY048072			D85291	HM764965	HM764740	HM763921	HM762567	AY434072		M73308	L35186									AY505994	HM756944	DQ977913	
Nasalis larvatus	JF919234	JX856237		JF293252		AF172180					EU185728	AF183639		JF293236	JF293188	AF172214			HM765012	HM764760	HM763941	HM762616	HM757670			AF069970				U62663						HM756959		
Semnopithecus entellus		JX856244		JF293256		AF172186					EU185731			JF293240	EU004457	AF172220			HM765042	HM764772	HM763952	HM762647	HM757680							EU519221						JF293277		
Cebus apella	JF919255	AJ313473									FJ392287						AF028482		HM764920	HM764827	HM764007	HM762524	HM757734			AF069965		AY279115		FJ529102								
Lagothrix lagotricha	JF919252	JX856232	DQ166194	AF092830							EF568626						AF028489		HM764984	HM764799	HM763980	HM762589	HM757706			AF069968		AY279114		AY671799			AF028513		AY533018		AY620740	
Symphalangus syndactylus	JF919230	JX856245				AF172196					AY972780		FJ542203	JN871459	HM757936	AF172230	HM631798		HM765055	HM764790	HM763970	HM762660	HM757697	HM631750						GU321285			HM631782					
Papio anubis	JF919244				FJ750627						FJ713433		FJ542209		HM071764	AF031089		EU885843	HM765016	HM764761	HM763942	HM762620	HM757671		FJ750609	FJ750685	JQ666222			EU885424					HQ540144	HM756960		
Hylobates lar	JF919231	AJ313478				AF172195					AY972705		EU488851	JN871451	X86384	AF172229	HM631795		HM764973	HM764784	HM763965	HM762577	HM757693	HM631747		AF069967				L02766			HM631779					
Saimiri sciureus	AY918493	AF271424	DQ166201	DQ129683							JF459275				HM758018	AF452613	AF028496		HM765053	HM764844	HM764024	HM762658	HM757750		M73310	AF069974		AY279116		U53582								
Colobus guereza	JF919232	AY434084		JF293247							EU185723		FJ542205	JF293231	JF293183				HM764935	HM764738	HM763919	HM762539	JF293215			L35195				U38264					AY553045	JF293268		
Pan paniscus	JF919225						DQ494900	DQ495121	DQ495215	DQ495805	AY671792	AF183649	AB445647		DQ977198				HM765027	HM764792	HM763972	HM762632	HM757699		M72426		U70307			AY550983						HM756983	AY791268	
Pongo pygmaeus		JX856249		AF092833		AF172197					HM102310	AF183644	AB445649	DQ520713	X86383	AF172231			HM765030	HM764796	HM763976	HM762635	HM757702		M73305	AY765034	M75963					JF938371			AY307814	HM756985	DQ363523	
Gorilla gorilla	JF919227	AY434088				AF172198	AM407459	AM407521	AM407541	AM407431	AY972808	AF183599	AB445648		X86382	AF172232	HM631791		HM764967	HM764791	HM763971	HM762569	HM757698	HM631743	M73304		AF031276			AY550982			HM631775		AY307838	HM756982	AY791276	
Pan troglodytes	JF919226			JF293241							EF554188	AF183588	AB445646	JF293225	X86380	U89798	HM631790		HM765033	HM764793	HM763974	HM762639	HM757701	HM631742		X93340	M94941			X93339			HM631774		AY307848	HM756984	AY055355	
Homo sapiens	JF919224				M98524		JN813953	JN814054	JN814109	JN813918	EU586511	AF237807	DQ026411	DQ520712	HQ853226	AF348491	DQ873520		HM764976	HM764782	HM763963	HM762580	HM757691	M61700	J05421	FN673994	GU551929	L48214		HE647856					AY505970	HM756974	U17576	
