taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	
Prionailurus rubiginosa											DQ081738	DQ082338	DQ082383					AF006445	DQ082512				
Pardofelis marmorata						AY499282		DQ081843				DQ082361	DQ082406				AY499336	AY499300	DQ082533				
Profelis aurata								DQ081832			DQ081750	DQ082350	DQ082395			AF252985		AF006433	DQ082522				
Nandinia binotata			JN413867	JN587099				AY928704		AY750680	GU930915	GU931254	GU931288	JN415046			AF511057		AY232613	AY170053	AY170083		
Felis margarita								DQ081816			DQ081734	DQ082334	DQ082379					AF006397					
Leptailurus serval				JN587097				DQ081833			DQ081751	DQ082351	DQ082396			AF252993		AF006419	DQ082523				
Herpailurus yaguarondi								DQ081825			DQ081743	DQ082343	DQ082388			AF252987	JQ743624	AF241812	DQ082516				
Leopardus tigrinus								DQ081840			DQ081758	DQ082358	DQ082403			AF252971	AY886752	AF006421	DQ082530				
Fossa fossana			AJ891061					GU931022		AY750679	GU930912	GU931251	GU931285	AJ891089	AJ893551		AY170097		AY170019		AY170067		
Prionailurus viverrinus											DQ081740	DQ082340	DQ082385			AF252978	FJ594959	AF006451	DQ082514			AB210265	
Caracal caracal								DQ081831			DQ081749	DQ082349	DQ082394			AF252992		AF006389	DQ082521				
Felis chaus								DQ081817			DQ081735	DQ082335	DQ082380			AF253013	JQ245445	AF006393	DQ082509				
Cryptoprocta ferox			AJ891056	JN587094				AY928705	FJ391188		DQ081773	DQ082374	DQ082419	AJ891085	AJ893549		AY170096		DQ082545		AY170066		
Otocolobus manul								DQ081819	AY634375		DQ081737	DQ082337	DQ082382			AF252995		AF006431	DQ082511	AY634387	AY525039		
Neofelis nebulosa				JN587100		AY499283		DQ081849	AY634373		DQ081766	DQ082367	DQ082412			AF252979	EF434742	AY499301	AY525056	AY634385	AY525032		
Catopuma temminckii						AY773085		DQ081842	AY634369		DQ081760	DQ082360	DQ082405			AF252984	FJ594957	AF006447	DQ082532	AY634381	AY525034		
Prionodon linsang			JN413883					DQ081850			DQ081767	DQ082368	DQ082413	JN415042			AF125141		DQ267551		JN414782		
Lynx rufus						AY499278		DQ081830		AY750674	DQ081748	DQ082348	DQ082393			AF252975	GU175436	AY499296	AY750602		DQ205913	EU161942	
Suricata suricatta			AJ891080	JN587110		D28899		DQ081853	FJ391210		DQ081770	DQ082371	DQ082416	AJ891099	AJ893548		AY170111		DQ082542	AY170054	AY170084		
Lynx lynx						AY499273		DQ081828	AY634377		DQ081746	DQ082346	DQ082391			AF253001	EU818857	AY499291	DQ082519		AY525038	JN084446	
Puma concolor				JN587107		U33495		DQ081824			DQ081742	DQ082342	DQ082387			AF252988	AF499775	AF241852		AY598489	DQ205911		
Acinonyx jubatus								DQ081826			DQ081744	DQ082344	DQ082389				AF348639	AF241815	DQ082517				
Leopardus pardalis						AY012150		DQ081834		AY750672	DQ081752	DQ082352	DQ082397	AB371366		AF252970	AF129715	AF006415	DQ082524		AB109335		
Crocuta crocuta			AJ891055	JN587093				AY928700		AY750678	DQ081768	DQ082369	DQ082414	AJ891084	AY128705		AY170114	AF006391	AF039728		AY170087		
Uncia uncia								DQ081848	AY634370		DQ081765	DQ082366	DQ082411				JX177501	AF006449	DQ082538	AY750646	AY525042	EF458634	
Panthera tigris				JN587106		AY736566		DQ081846	AY634372	AY750676	DQ081763	DQ082364	DQ082409	AB371362		AF252983	AF053053	JQ040961	AY750603	AY750645	AB109338	JQ040897	
Panthera onca						HM107680		DQ081847	HM107664		DQ081764	DQ082365	DQ082410	AB371364		AF252981	HM107682	AF006441	DQ082537	AY634391	AB371347		
