taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	
Budorcas taxicolor				HQ269440			AY670655				AY669320	AY670671			FM986345			AY846811				AB060290	JQ229965								DQ236283		
Philantomba monticola				HQ644101			AF154257				AF153891	AF210173						AF210194											JN645660	JN645554	HM143950		
Eudorcas thomsonii				HQ603093						AF030473	FJ556559	AF165752		DQ283322				AF165749				EU032301		DQ470795					AF165753	AF165748	AF165750	FJ773325	
Antidorcas marsupialis						EF033150				AF030466	AF022054	AF210166		U87055				AF210187						JN390833					AF210231		AF210209	FJ773322	
Hippopotamus amphibius							AY012143		AY011488		Y08813		JN642612			AY122012																	
Oreamnos americanus			FJ434492	JF443346		EF033140	Y09399				AF190632	D32185		U87030	JN861577		DQ648492	AY846814				EF999825	HM231015								DQ236292	FJ773347	
Ovis ammon	JN992657						AY141135				AJ867274			AF538361				AY846805					AY315898								AY449530		
Tragelaphus eurycerus				EU623454			AY667213		AY011490		AF022065			AY667202				AY667172			AF091644								AY667227		AY667243		
Bubalus carabanensis	GQ259331	GQ259329		JX218051				GQ259327			JQ394867																						
Aepyceros melampus				HQ603134							AF022056	AF165784		U87014		AY122032		AF165781			AF091659								AF165785	AF165780	AF165782	FJ773318	
Pantholops hodgsonii				HQ269461							AF034724	AY670681		AF401517				AY846796													DQ236299	FJ773348	
Ammotragus lervia							AY670654				AF034731	AY670670						AY846803				EF165080									DQ236282		
Tragelaphus imberbis											AF022064	AF030330		M86493		AY122025		AF165733			AF091649	AY720704							AY667222	AY667182	AF165734		
Pseudoryx nghetinhensis											AF091635	AY670667				JX862039		JX862080			AF091660										JX862113		
Ovis canadensis	JN992667			JF443358		EF033138	U86983				U17859			U87033	FM986340		AF324847					AF166334										FJ773345	
Rupicapra rupicapra							AM158314				AF034725	D32182		DQ983923	FM986344		AY368452	AY846809				FJ436717	AM261621								AY449534		
Ovibos moschatus				JF443354			AY141132				U17862	AF165808		U87027	AF227193		AF162657	AY846813				AF117320	GU808206						AF165809	AF165804	DQ236293	Y13958	
Bubalus depressicornis			DQ469603				AF091689				D88640	JX862178		U87062	AF385484	JX862038		JX862079			AF091641	AY720688									JX862112	FJ773314	
Boselaphus tragocamelus											AJ222679	AF030331	DQ286730	U87013		AY122024		AF165725			AF091642	AY720699							AF165729	AF165724	JX862100	FJ773315	
Syncerus caffer	DQ336534	DQ336544	DQ469605	HQ603126			AF091688	DQ336564			D82888	AF210154		U87061		JX862040	AF059238	AF210175			AF091640								AF210219	AY667192	AF210197		
Bison bonasus	DQ336533	DQ336543	DQ469595					DQ336563			AY689186	JX862168			AF385485	JX862029	EU099623	JX862069			JX862042	EU032297									EF693851		
Bison bison	DQ336532	DQ336542					AF091687	AY928813			AF036273	AF030322	AY994163	EU136701		JX862028	DQ353804	JX862068			AF091639	AY720695					DQ887317				EF693850		
Bos grunniens	AY079144	DQ336541		HQ269464	GQ926973			DQ336561			AB542193	AF030326	HQ199891	EU910139	JF298905						AF091638	AY367636									EF693849	FJ624478	
Bubalus bubalis	DQ417872	DQ336545	DQ469599	JX218054			DQ867005	AY928814				JX862177	JN608793	FJ748599	AF385489	JX862037	GU357706	JX862078			AF281089	AY720689					AY805331				JX862111	GU121363	
Bos taurus	U15569	AF465181	EU569299	EF568716	GQ926965		AB099134	AY928816	X97914		AF034443	HQ589920	AB056444	AB099099	DQ821716	JX862036	U64462	JX862077		AB099144	AF281088	AF517842					DQ887314				EF693844	U39469	
