taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	marker.37	marker.38	marker.39	marker.40	marker.41	marker.42	marker.43	marker.44	marker.45	marker.46	marker.47	marker.48	marker.49	marker.50	marker.51	marker.52	marker.53	marker.54	marker.55	marker.56	marker.57	marker.58	marker.59	marker.60	marker.61	marker.62	marker.63	marker.64	
Galago thomasi																																	HM765247	HM764971	HM764885		HM762573	HM761570	HM759710																											
Colobus angolensis																											DQ520715													JX856224		JX856258					AF295583						DQ520725											DQ520718		
Chiropotes satanas												DQ166192	DQ129681																																	DQ145530			JF938527	AF028487	AF028511															
Callicebus coimbrai																																	HM765209	HM764927			HM762531	HM761528										JF938357	JF938513															HM757149		
Microcebus ravelobensis																						EF175222		DQ003411						GU327031			GU231060		JX017499										AY582674		GU327217																			
Varecia rubra																						AF224592		EU342267	AY434063					L22785			HM765238	HM765078			HM762684	HM761674		AF081055		JX856282			AF175791		U53578																			
Brachyteles hypoxanthus																									HM757705								HM765157	HM764912	HM764797		HM762519	HM761516	HM759624																									HM757096		
Lepilemur jamesi																																	HM765241	HM764983	HM764878	HM763888	HM762588	HM761585	HM759703								EU200438																	HM757163		
Callithrix aurita																												AF338392					HM765162	HM764917	HM764802			HM761520	HM759629									JF938270	JF938417				HM756989											HM757101		
Cacajao melanocephalus																									HM757732								HM765188	HM764918	HM764825				HM759655								FJ531649	JF938355	JF938511															HM757127		
Arctocebus calabarensis																																	HM765244	HM764896	HM764881	HM763889	HM762504	HM761500	HM759706						DQ073479		AY441474												AY441642							
Miopithecus talapoin					AF177886				EU185729	EF517806																		EF517800															JN544125									JQ231139		JX297239												
Lepilemur ankaranensis																						DQ529622											HM765239		HM764876	HM763886	HM762583	HM761580	HM759701						DQ529428		DQ109025																	HM757161		
Presbytis comata																									HM757674								HM765125	HM765017	HM764765	HM763805	HM762622		HM759594																									HM757064		
Semnopithecus hector																									HM757682								HM765132	HM765045	HM764773	HM763812	HM762650	HM761643	HM759600								AY519451																	HM757071		
Propithecus edwardsi																						AY582556			HM757757					AY584484			HM765223	HM765020	HM764863	HM763876	HM762625	HM761620	HM759686								HQ731549																			
Pygathrix cinerea																									HM757676			HM757979					HM765126	HM765018	HM764767	HM763807	HM762623		HM759596																									HM757066		
Cebus xanthosternos																									HM757738			AF338390					HM765193	HM764959	HM764831	HM763855	HM762561	HM761558	HM759661								FJ460174	JF938334	JF938484															HM757132		
Trachypithecus delacouri																									HM757685			EU004465					HM765135	HM765058	HM764776	HM763814	HM762663	HM761656	HM759602								EU004474																	HM757074		
Lagothrix cana																												HM757996					HM765158	HM764978	HM764798	HM763832	HM762582	HM761579	HM759625														HM756987											HM757097		
Pongo abelii				AY740618	AF177895				EF568615				JF293242			DQ494885	DQ495107	DQ495197	DQ495350	DQ495793					JF293210		JF293226	JF293178													HM631760						U38274				HM631776															
Nycticebus bengalensis																																FJ372501	HM765249	HM765008	HM764887		HM762612	HM761609	HM759712						EU680968		AY441477																			
Miopithecus ogouensis																									HM757669								HM765119	HM765001	HM764759	HM763799	HM762605	HM761602	HM759588	JX856236		JX856270																						HM757059		
Avahi laniger																						AF224598								AY584482			HM765221	HM764902	HM764861	HM763874	HM762510	HM761506	HM759684						AJ429616		AY441453																			
Aotus griseimembra																									HM757723			AF338374					HM765178	HM764901	HM764815	HM763844	HM762509	HM761505	HM759645								DQ098870																	HM757117		
Eulemur albifrons																						EF552593		EU342246	AY434061	AB098391							HM765227	HM764962	HM764868	HM763880	HM762564	HM761561	HM759691	AF081061					AF175797		AF081048																			
Eulemur coronatus																						AF224523		EU342245	EU342332	AB098367							HM765226	HM765072	HM764867	HM763879	HM762678	HM761668	HM759690	EU342271					AY043335		AY441448													AY441537						
Pygathrix nigripes													JQ821936												JQ821925		JQ821871	JQ821864					HM765128	HM765026	HM764769	HM763809	HM762631	HM761624	HM759597														JQ821880											HM757068		
Cercopithecus lhoesti		AY686142			AF081579				AY972666	AY048056															HM757639			AY048068					HM765089	HM764937	HM764728	HM763774	HM762541	HM761538	HM759557														HM756938											HM757030		
Saguinus imperator															GU382660								FJ542217									FJ931112		HM765046	HM764837		HM762651	HM761644										JF938344	JF938496				HM757013											HM757138	AY490596	
Alouatta palliata																									HM757718			DQ875676					HM765173	HM764906	HM764811	HM763842	HM762514	HM761510	HM759639								DQ875741					JN936912	HM756998											HM757112		
Tarsius syrichta						AF535045	AF535054																		HM757755								HM765217	HM765066	HM764855		HM762671	HM761662	HM759680	Z11806				DQ985358																						
Hoolock hoolock	AY532288													AF172194	AY899907						AF172228																										GU321287																			
Cebus olivaceus												DQ166191	AF092822												HM757736			AF338389					HM765192	HM764948	HM764829	HM763854	HM762551	HM761548	HM759659								FJ529107	JF938324	JF938475	AF028481														HM757130		
Cacajao calvus																									HM757731			HM758004					HM765187	HM764926	HM764824	HM763852	HM762530	HM761527	HM759654	JX856219		JX856253								AF028484	AF028508		HM757008											HM757126		
Mirza coquereli																						AF224623		EU342261						AY321460			EU342234	HM764990	HM764859	HM763872	HM762595	HM761591	HM759683						AJ429628		AY441462								AY441479					AY441702	AY441684					
Galago moholi											AF212961																					FJ372471	EU342229	HM764969	HM764883	HM763891	HM762571	HM761568	HM759708	AF271415					DQ073481		AY441470																		AY490609	
Cercocebus agilis										FJ750633													FJ542212					AY665631			FJ750606												GU219528	FJ750615																						
Cercopithecus mona		AY686146	AF424977		AF162041					AF284281													FJ542206		HM757641			AF284332					HM765091	HM765070	HM764730	HM763776	HM762676	HM761666	HM759559								HQ450786																			
Loris tardigradus													AY434051																				HM765248	HM764987	HM764886	HM763893	HM762592	HM761588	HM759711	JX856234		JX856268			DQ073503		U53581												AY441639							
Perodicticus potto														AF172209							AF172243												HM765252	HM765021	HM764890	HM763896	HM762626			AF271420		JX856274			DQ073519		AF271413												AY441641						AY490595	
Alouatta sara				AY843511																					HM757719								HM765174	HM764907	HM764812	HM763843	HM762515	HM761511	HM759640	JX856217		JX856251					AY065887							JX297228										HM757113		
Nycticebus pygmaeus													EU342343	AF172207							AF172241			EU342262		AJ428396							HM765251	HM765013	HM764889	HM763895	HM762617	HM761614	HM759714	EU342277					EU680969		AY687891												AY441640							
Chlorocebus sabaeus					AF252552							D87934	AY434055												AY434073	HQ686148		HM757953					HM765096	HM764954	HM764736		HM762556	HM761554	HM759565	AY434087							JX983814						HM756941											HM757036		
Cercocebus torquatus										AY195577															HM757633			HM757968						HM764955	HM764722	HM763768	HM762557	HM761555	HM759551				HQ285845				JQ068152					JQ231133	HM756932											HM757024		
Propithecus verreauxi			AF072427			JN633740	JN632761	JF919270																	HM757759								HM765225	HM765036	HM764865	JN633378	HM762641	HM761634	HM759688	AJ313471		AJ410294			AJ429620		HQ731525													AF032321						
Pithecia irrorata								JF919264				DQ166196	DQ129682		GU382664																			HM765023	HM764852		HM762628	HM761622	HM759677								AY226183	JF938370	JF938528				HM757020											HM757154		
Otolemur garnettii			AF072430			AF535044	AF535053	JF919279			AF212958													EU342263									HM765245	HM764968	HM764882	HM763890	HM762570	HM761567	HM759707	AF271417					DQ073511		AF271412												AY441643							
Otolemur crassicaudatus								JF919278			AF212957																						HM765243	HM765015	HM764880		HM762619	HM761616	HM759705	Z11805		AF061064			DQ073505		U53579																			
Brachyteles arachnoides			DQ078115		AY278752			JF919253				DQ166187	DQ129680		GU382636										HM757704								HM765156	HM764911			HM762518	HM761515	HM759623							DQ145531	AF289989	JF938263	JF938408	AF028478	AF028502		HM756986											HM757095		
Allenopithecus nigroviridis	AY532309	AY686150	AF424976						AY671793	AY048053													FJ542207		HM757630			AF284331					HM765081	HM764904	HM764719	HM763765	HM762512	HM761508	HM759548	JX856216		JX856250	GU219526									JQ231142												HM757022		
Lophocebus aterrimus		FJ713415			AF177897			JF919248	FJ713428	AY195579															HM757652			HM757969			FJ750604		HM765102	HM764977	HM764741	HM763786	HM762584	HM761578	HM759571				HQ285847	AF057434			JQ068153						HM756945											HM757041		
Rhinopithecus roxellana	AY532296				AF075444								JQ821938	AF172177							AF172211				JQ821929		JQ821875	JQ821865															KC018181				AF295581						JQ821884													
Daubentonia madagascariensis						JN633739	JN632760	JF919271																EU342244	EU342331								EU342219	HM764960	HM764856	JN633377	HM762562	HM761559	HM759681	AF271422					AY043348		AY441444													AY441675	AY441690					
Callithrix geoffroyi									EU185730				AF092823		GU382643										HM757709			AF338378				FJ931107	HM765163	HM764933	HM764803	HM763835	HM762537	HM761534	HM759630								HM368005	JF938278	JF938426															HM757102	DQ156944	
Nomascus gabriellae									AY544151																HM757695		JN871460	HM757938				FJ372480	HM765147	HM765011	HM764788		HM762615	HM761612	HM759614		HM631768		JN544129				GU595021				HM631784		HM631808											HM757086	AY490574	
Rhinopithecus bieti	AY532297				AF075445									AF172178							AF172212							AF454966																			AY998835																			
Macaca ochreata			AY224260							AF284269															HM071449			HM071773					HM765111	HM765000	HM764751	HM763793	HM762604	HM761601	HM759580								HM071122						HM756953											HM757051		
Ateles paniscus	AY532313							JF919249	JF459104			DQ166186		AF172200							AF172234							HM757995					HM765186	HM764905	HM764823	HM763851	HM762513	HM761509	HM759653	AJ313474						AY279117		JF938260	JF938405				HM757007											HM757125		
Nomascus concolor					AF161887	AY011416	AY011537																				JN871468						HM765146	HM765009	HM764787	AY011479	HM762613	HM761610	HM759613	JX856238		JX856272					GU594997						AY012070											HM757085		
Saguinus fuscicollis													AF092835										FJ542216		HM757742	U59633		HM758012					HM765197	HM765043	HM764835	HM763858	HM762648	HM761641	HM759665	JX856242		JX856276								AF028493			HM757012											HM757136		
Mandrillus leucophaeus	AY532312	M74006			AF177876			JF919242	AY671789					AF172188							AF172222		FJ542210		HM757667			AF454968					HM765117	HM764995	HM764757	HM763797	HM762599	HM761596	HM759586	JX856235		JX856269	HQ285853	AF057436		AY851750	JQ068167					JQ231131	HM756957											HM757057		
Leontopithecus rosalia					AY278751								AF092831		GU382657											U59643		AF338372					HM765169	HM764985	HM764808	HM763840	HM762590		HM759636	JX856233		JX856267					L44591	JF938340	JF938491	AF028490			HM756994											HM757108		
Theropithecus gelada			AY603034		AF177891			JF919243	EF658645	AF284278			JF293244										FJ542208		HM757683		JF293229	AF284329			FJ750603		HM765133	HM765060	HM764774		HM762665	HM761657		JX856246		JX856280	GU219519	FJ750612			EU885487					JN936896	HM756968											HM757072		
Callicebus moloch				EU124690	AF177887									AF172203							AF172237												HM765212	HM764943			HM762546	HM761544	HM759676	JX856220		JX856254					AF524887	JF938358	JF938515	AF028483	AF028507	JQ231152		JX297230										HM757152		
Macaca sylvanus			AF424973	HM468431				AY918495	JF444309	AF425281			JF293245										FJ542211		JF293211		JF293227	AF284325					HM765114	HM765005	HM764754	HM763794	HM762609	HM761606	HM759583														HM756955	JX297238										HM757054		
Mandrillus sphinx		FJ713421	AF420039		AF177877				FJ713434	AF284279				AF172187							AF172221				HM757668			AF284330			FJ750605	FJ372493	HM765118	HM765004	HM764758	HM763798	HM762608	HM761605	HM759587				HQ285854	AF057431			JQ068151					JN936897	HM756958											HM757058	AY490600	
Piliocolobus badius													JF293248												JF293216		JF293232	JF293184					HM765124		HM764764		HM762621	HM761618	HM759593								AF294625						JF293269													
Trachypithecus auratus																									HM757684		EU835229	EU004468					HM765134	HM765056	HM764775	HM763813	HM762661	HM761654	HM759601														HM756969											HM757073		
Pithecia pithecia	AY532314			AY843515			FJ648372		JF459229					AF172204	GU382665						AF172238		FJ542214		HM757753	U59654							HM765215	HM765029	HM764853	FJ648367	HM762634	HM761627	HM759678	AJ313475		AJ410298								AF028491	AF028515	JQ231151	HM757021	JX297243										HM757155		
Leontopithecus chrysomelas					AY278749			JF919258				DQ166195			GU382651										HM757714			HM758002					HM765168	HM764980	HM764807	HM763839	HM762585	HM761582	HM759635								L44589	JF938335	JF938485															HM757107		
Presbytis melalophos										AF284231			JF293250												HM757675		JF293234	JF293186						HM765024	HM764766	HM763806	HM762629		HM759595														JF293271											HM757065		
Hylobates agilis						FJ648397	FJ648370	JF919229				AB006609													HM757692		JN871453	HM757942					HM765142		HM764783	FJ648366	HM762574	HM761571	HM759609		HM631764		JN544136								HM631780	JQ231127	HM631805	JX297235										HM757081		
Ateles fusciceps						AY011414	AY011535																		HM757728			HM757992				FJ372452	HM765183	HM764898	HM764820	AY011477	HM762506	HM761502	HM759650	JN414808	AF514766	JN415070								AF028477	AF028501		HM757004											HM757122	AY490611	
Papio papio		FJ713411			AF005658				AY972684	FJ750626															HM757673			HM757973			FJ750599		HM765123	HM765028	HM764763	HM763803	HM762633	HM761626	HM759592		HM631762			FJ750608			EU885447				HM631778		HM756962											HM757063		
Callimico goeldii						AY011417	AY011538	JF919257	AY671788				AF092825	AF172202	GU382639						AF172236				HM757707			HM758010					HM765160	HM764934	HM764800	AY011480	HM762538	HM761535	HM759627	JX856221		JX856255				AY279118	AF044061		JF938410	AF028486			HM756988											HM757099		
Aotus azarai								JF919254	EU179517			DQ166184	AF092812		GU382632										HM757720			AF338375				FJ372451	HM765175	HM764909	HM764813		HM762517	HM761513	HM759641							AY279113	DQ098865	JF938235	JF938376				HM756999											HM757114	AY490604	
Erythrocebus patas				AY740619	AF162054				JF444300	AY048062			AY434056												AY434072			AY048072				FJ372469	HM765100	HM764965	HM764740		HM762567	HM761564	HM759569	AY434086		JX856259		M73308								JQ231138	HM756944											HM757040	AY490603	
Semnopithecus entellus					AF177896								JF293256	AF172186							AF172220				JF293224		JF293240	EU004457					HM765130	HM765042	HM764772		HM762647	HM761640		JX856244		JX856278					EU519221						HM756966											HM757069		
Nasalis larvatus	AY532295				AF177882			JF919234					JF293252	AF172180							AF172214				HM757670		JF293236	JF293188					HM765120	HM765012	HM764760	HM763800	HM762616	HM761613	HM759589	JX856237		JX856271					U62663					JQ231144	JF293273											HM757060		
Lemur catta					AF162010	AY011412	AY011533															AF053684		EU342256	HM757762	AJ428397		HM758021		L22780		FJ372486	HM765237	HM764981	HM764874	AY011476	HM762586	HM761583	HM759699	AF081058		AJ410292			AY012130		AF175953									AY441495	AY441501			AY441535	AY441688	AY441705	AY441735		AY490599	
Lagothrix lagotricha			U39005	AY843520	AF252553			JF919252	EF568626			DQ166194	AF092830												HM757706								HM765159	HM764984	HM764799	HM763833	HM762589	HM761586	HM759626	JX856232		JX856266				AY279114	AY671799			AF028489	AF028513	JQ231150		JX297236										HM757098		
Papio anubis		FJ713420		EF551342	AF141640			JF919244	FJ713433	FJ750627											AF031089		FJ542209		HM757671	U35625		HM071764			FJ750600		HM765121	HM765016	HM764761	HM763801	HM762620	HM761617	HM759590				JN544123	FJ750609			EU885424					JQ231134	HM756960											HM757061		
Symphalangus syndactylus	AY532291			AY843509	AF177884			JF919230	AY972780					AF172196							AF172230		FJ542203		HM757697		JN871459	HM757936				FJ372484	HM765149	HM765055	HM764790	HM763826	HM762660	HM761653	HM759616	JX856245	HM631766	JX856279	JN544131				GU321285				HM631782	JQ231128	HM756981	JX297247										HM757088	AY490571	
Hylobates lar	AY532290			AY923180		FJ648398		JF919231				AF136648		AF172195	AY710299						AF172229		EU488851		HM757693	U50090	JN871451	X86384				FJ372481	HM765143	HM764973	HM764784	HM763822	HM762577	HM761574	FJ648382	AJ313478	HM631763	AJ410300	JN544133				L02766				HM631779	JN936889	HM756976											DQ520717	AY490573	
Saimiri sciureus			U39009	AY843517	AF452615			AY918493	JF459275			DQ166201	DQ129683								AF452613				HM757750	U59658		HM758018				FJ372523	HM765206	HM765053	HM764844	HM763865	HM762658	HM761651	HM759672	AF271424				M73310		AY279116	U53582			AF028496		JN936909		JX297246										HM757147	AY490601	
Colobus guereza				AY843507	AF141639			JF919232	EU185723				JF293247										FJ542205		JF293215		JF293231	JF293183				FJ372463	HM765098	HM764935	HM764738		HM762539	HM761536	HM759567	AY434084			GU219530				U38264					JQ231145	HM756943	JX297233										HM757038	AY490607	
Pan paniscus	AY532282			DQ229282	AF177893			JF919225	AY671792							DQ494900	DQ495121	DQ495215	DQ495372	DQ495805			AB445647		HM757699	L39094		X86381				FJ372512	HM765151	HM765027	HM764792	HM763828	HM762632	HM761625	HM759618				JN544137	M72426			AY550983					JQ231124	HM756983	JX297241										HM757090	AY490587	
Pongo pygmaeus	AY532286			AY843513	AF075446				HM102310			AB015636	AF092833	AF172197	AY899900						AF172231		AB445649		HM757702	M30680	DQ520713	X86383				FJ372518	HM765155	HM765030	HM764796	HM763831	HM762635	HM761629	HM759622	JX856249		JX856283	JN544135	M73305					JF938371			JQ231126	HM756985	JX297244										HM757093	AY490593	
Gorilla gorilla	AY532285			AY843510	AF005659			JF919227	AY972808			AB015635		AF172198	AY899872	AM407459	AM407521	AM407541	AM407582	AM407431	AF172232		AB445648		HM757698	X60692		X86382				FJ372474	HM765150	HM764967	HM764791	HM763827	HM762569	HM761566	HM759617	AY434088	HM631759	JX856264	JN544134	M73304			AY550982				HM631775	JQ231125	HM756982	JX297234										HM757089	AY490570	
Pan troglodytes	AY532281			AH014830	AF035214	AF535046	AF535055	JF919226	EF554188			AB015634	JF293241		DQ437595						U89798		AB445646		JF293209	DQ539672	JF293225	JF293177				FJ372513	HM765152	HM765033	HM764793	AF535050	HM762639	HM761631	HM759619		HM631758	U31620	AF311920				X93339				HM631774	JN936887	HM756984	JX297242										HM757092	AY490586	
Homo sapiens	AF127520			AF220026	AY874121	AY011418	AY011539	JF919224	EU586511			U17895				JN813953	JN814054	JN814109		JN813918	AF348491		DQ026411		HM757691	M84381	DQ520712	HQ853226			M86878	FJ372478	HM765141	HM764976	HM764782	AY011481	HM762580	HM761577	CR541965		M23423	M25851	HE572751	J05421		L48214	HE647856					AB013847	HM756974	BC014222										AF022232	AY490588	
